Entity 1,Relationship,Entity2,Date,Sha,Change
Nucleus, is Android library , which helps,2015-03-22 21:34:47,3be34c6da0abddc73c45f2251ae4c268f7e112bc,deletion
Nucleus, is library , which helps,2015-03-22 21:34:47,3be34c6da0abddc73c45f2251ae4c268f7e112bc,deletion
Nucleus, is library , which utilizes,2015-07-22 00:01:05,cd23cdef7147799f7d236a9f27e4ce7afcff2657,addition
Nucleus, is Android library , which utilizes,2015-07-22 00:01:05,cd23cdef7147799f7d236a9f27e4ce7afcff2657,addition
Nucleus, is , simple,2015-07-22 12:18:45,34c803d1b961e2cf0f7724c62b4f6d09c11943e3,addition
Nucleus, is , Android,2015-07-22 12:18:45,34c803d1b961e2cf0f7724c62b4f6d09c11943e3,addition
