Entity 1,Relationship,Entity2,Date,Sha,Change
Sass, command-line instructions on , Sass installation,2014-06-18 09:07:20,adc8ceb126577e514719a7077e8bcbabbf8b31e8,deletion
Sass, instructions on , Sass installation,2014-06-18 09:07:20,adc8ceb126577e514719a7077e8bcbabbf8b31e8,deletion
Sass, see , command-line instructions on Sass installation,2014-06-18 09:07:20,adc8ceb126577e514719a7077e8bcbabbf8b31e8,deletion
Google, by , Fundamentals,2014-06-19 12:54:24,99886fcac9de571dc744ae512a9511ff079e2e72,deletion
Google, 's Fundamentals is , http://developers.google.com/web/fundamentals,2014-06-19 12:54:24,99886fcac9de571dc744ae512a9511ff079e2e72,deletion
Node, go to , http://nodejs.org/,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, see , command-line instructions on Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, see , instructions,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, see , command-line instructions,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, see , instructions on Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Node, go to , nodejs.org,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Gulp, is , installed,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, instructions on , Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, command-line instructions on , Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, is , installed,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,addition
Sass, command-line instructions on , Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, is , installed,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Node, go to , NodeJS.org,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Node, go to , http://nodejs.org/,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, see , command-line instructions on Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Gulp, is , installed,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, see , command-line instructions,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, see , instructions,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, see , instructions on Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Sass, instructions on , Sass installation,2014-06-19 18:28:57,03e1f933f13fa4ea010c333f50c79d90e5f31b56,deletion
Gulp, is , installed,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, instructions on , Sass installation,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, see , instructions on Sass installation,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, see , instructions,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, see , command-line instructions,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Node, go to , http://nodejs.org/,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, command-line instructions on , Sass installation,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, is , installed,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Sass, see , command-line instructions on Sass installation,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Node, go to , nodejs.org,2014-08-26 16:54:17,2bcb2aa91d12c26d6c334dce16979ac8e3b1c060,deletion
Templates, have , their quasi-separategulp pipeline,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, have , their own quasi-separategulp pipeline,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, have , their pipeline,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, be , compiled,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, have , their own pipeline,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, be compiled with , gulp templates,2015-04-16 13:55:28,50f0d04321da6c528b4bc87b7f4fc60828ca1f1e,addition
Templates, have , their pipeline,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Templates, have , their own pipeline,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Templates, have , their own quasi-separategulp pipeline,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
###, save , ### bower bower install,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Templates, be compiled with , gulp templates,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
###, save , material-design-lite ### bower bower install,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Templates, have , their quasi-separategulp pipeline,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Templates, be , compiled,2015-07-07 13:02:10,04c98a4bb4db96013c1824b341767c3d2f9e5419,deletion
Thiscan, be , achieved,2015-08-19 18:31:16,c0349de5e5d14bb9f5f3d7971086342cbfb86d52,addition
MDL, requires , NodeJS 0.12,2016-07-01 15:50:29,e6e8dfc844551ddd6bceed0f65589cf3b0d720c3,deletion
